"","Kommune","locality","site","utm_sone","date","month","year","utm_N","utm_E","stage","obs"
"119","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011854,563746,"adult",1
"120","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011854,563746,"juvenile",0
"121","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011854,563747,"adult",1
"122","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011854,563747,"juvenile",0
"123","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011858,563740,"adult",1
"124","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011858,563740,"juvenile",0
"125","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011858,563740,"adult",1
"126","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011858,563740,"juvenile",0
"127","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011857,563738,"adult",7
"128","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011857,563738,"juvenile",0
"129","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011857,563735,"adult",4
"130","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011857,563735,"juvenile",0
"131","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011862,563730,"adult",4
"132","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011862,563730,"juvenile",0
"133","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011863,563730,"adult",3
"134","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011863,563730,"juvenile",0
"135","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011835,563773,"adult",1
"136","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011835,563773,"juvenile",0
"137","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011835,563777,"adult",1
"138","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011835,563777,"juvenile",0
"139","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011903,563447,"adult",4
"140","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011903,563447,"juvenile",0
"141","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011901,563446,"adult",3
"142","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011901,563446,"juvenile",0
"143","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011902,563439,"adult",1
"144","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011902,563439,"juvenile",0
"145","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011900,563434,"adult",2
"146","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011900,563434,"juvenile",0
"147","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011902,563434,"adult",1
"148","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011902,563434,"juvenile",0
"149","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011903,563430,"adult",3
"150","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011903,563430,"juvenile",0
"151","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011905,563430,"adult",1
"152","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011905,563430,"juvenile",0
"153","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011907,563430,"adult",1
"154","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011907,563430,"juvenile",0
"155","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011905,563431,"adult",1
"156","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011905,563431,"juvenile",0
"157","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011887,563427,"adult",1
"158","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011887,563427,"juvenile",0
