Lokalitet,Dato_20,Antall_20,Luket_20,Dato_21,Luket_21,Field,GlobalID,Antall_21,Dato_22,Luket_22,Antall_22,Dato_23,Luket_23,Antall_23,Luket_24,Antall_24,Dato_24,Shape_Leng,Shape_Area,site,siteID,S1_20,S2_20,S3_20,A_20,S1_21,S2_21,S3_21,A_21,S1_22,S2_22,S3_22,A_22,S1_23,S2_23,S3_23,A_23,S1_24,S2_24,S3_24,A_24,area_m2
Storrønningen 4,2020/07/15,2,ja,"09.08",ja,4,d4d3c27e-c7f7-465c-b620-813f3ed6c1e1,3,2022/06/20,Nei,0,2023/06/29,Nei,0,Nei,0,2024/06/17,26.1058525095,31.4482969144,Storronningen,"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4482969145756
Storrønningen 3,2020/07/15,4,ja,"09.08",ja,3,a1f6d51b-d2a8-417c-a061-040f52a2c38e,3,2022/06/20,Nei,0,2023/06/29,Nei,0,Nei,0,2024/06/17,25.1679049062,26.0546460263,Storronningen,"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0546460263431
Storrønningen 2,2020/07/16,3,ja,"09.08",ja,2,856077e0-6f06-443b-8600-ad947295a8df,0,2022/06/20,Nei,0,2023/06/29,Nei,0,Nei,0,2024/06/17,16.4857051455,12.562574481,Storronningen,"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5625744810095
Storrønningen 1,2020/07/16,15,ja,"09.08",ja,1,0c32d7fe-d280-42af-984a-4d6c3c53d250,3,2022/06/20,Nei,0,2023/06/29,Nei,0,Nei,0,2024/06/17,23.2993418135,21.9710910538,Storronningen,"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9710910536814
Storrønningen 58,,0,,,,0,4d1b7557-8480-430d-806b-1cbb3afe03c8,0,2022/07/12,Ja,580,2023/07/07,Ja,300,Nei,0,2024/07/24,56.9654149456,103.344738065,Storronningen,"91",0,1,0,0,0,0,103,0,310,2894,207,0,103,310,1033,0,413,103,0,0,103.344738065032
Storrønningen 59,,0,,,,0,43c291c0-73bd-4369-8b2d-59eba861a67e,0,2022/07/13,Ja,260,2023/07/05,Ja,250,Nei,0,2024/07/02,86.0491720073,420.342073557,Storronningen,"92",0,0,0,0,0,0,0,0,0,2942,0,0,0,420,420,0,0,0,0,0,420.34207355557
Storrønningen 56a,,0,,,,0,15df0233-3a49-4f0d-9dd7-e49eae13396e,0,2022/07/15,Ja,980,2023/07/07,Ja,109,Nei,0,2024/06/17,192.089984854,931.115467862,Storronningen,"88",0,0,0,0,0,1862,2793,0,3724,2793,931,0,0,18622,8380,0,82869,69834,3724,0,931.115467861935
Kregnesteigen 6b,,0,,,,0,2e6514bc-b27b-46aa-b014-82ae0b3f6cd1,0,2022/08/04,Ja,4940,2023/06/13,Ja,2200,Ja,650,2024/06/24,94.853027587,460.846523665,Kregnesteigen,"28",2,1,6,0,461,5530,2765,461,922,922,1843,0,0,1383,4608,461,0,0,0,0,460.846523664957
Kregnesteigen 7a,,0,,,,0,bb0ae361-a745-4bad-840e-e5ca4cb14a13,0,2022/10/31,Ja,11000,2023/06/22,Ja,3500,Ja,2140,2024/09/04,78.7135031154,277.363294197,Kregnesteigen,"30",0,0,0,0,277,277,0,0,0,0,0,0,0,4715,3051,0,2774,1109,0,0,277.363294197014
Kregnesteigen 6c,,0,,,,0,74517049-ac6c-4af7-b063-3eb9b39146d9,0,,,0,2023/06/22,Ja,8180,Ja,2474,2024/06/25,141.426019456,1144.77282499,Kregnesteigen,"29",1,0,2,0,1145,8013,2290,1145,0,0,2290,0,0,6869,4579,0,1145,1145,0,0,1144.7728249901
